tissue,n_train,n_donors,rmse,mae,r2,spearman_r,spearman_p
Artery - Coronary,66,66,263.52045488797035,212.69673673276537,0.1497010291898222,0.48176020564914884,4.213034768669683e-05
Kidney - Cortex,49,49,266.66728840755803,219.25986660442342,0.1557948230505063,0.47012602745005466,0.0006533493448297936
Esophagus - Mucosa,153,153,262.1955370288358,219.47562514828604,0.06276159701429118,0.3638226296804001,3.7866886159064167e-06
Brain - Putamen (basal ganglia),154,154,240.06437278597824,190.11010872990545,0.06918800165226202,0.34580365130646196,1.119831033926974e-05
Liver,118,118,293.3206638124302,234.84228858927395,-0.07224705782494056,0.30975602187213275,0.0006417029642018306
Esophagus - Gastroesophageal Junction,99,99,277.8612987712747,215.77970362679613,0.010831941645420673,0.2940314292051358,0.003136716137455601
Stomach,46,46,316.84660355706944,255.34832844861413,-0.1560996373843868,0.2870975705472668,0.053046048347884414
Prostate,83,83,300.9780805794248,245.26216554768817,-0.07663677074140396,0.2773422331523499,0.0111362246945999
Whole Blood,260,260,265.32827584058157,210.54108016278371,-0.07252080961869756,0.26859340283606037,1.1281739258584606e-05
Nerve - Tibial,237,237,310.09881814201697,250.6451115084803,-0.12043229797355459,0.2162092969182389,0.0008063062112546023
Vagina,40,40,252.89855566452454,213.6254607100008,-0.017523000388258936,0.1530956848030019,0.3456121638853666
Brain - Cerebellar Hemisphere,159,159,289.0916571139256,232.4185926161302,-0.23638381806158293,0.14692647409748358,0.06458830205734031
Thyroid,235,235,298.867806533176,237.17596687445723,-0.1796597359861103,0.14510079873753626,0.02612981772935399
Brain - Cortex,187,187,274.61462516397444,223.0188980761828,-0.1602767744124889,0.14325530438172557,0.05047082691289263
Muscle - Skeletal,303,303,319.72532593986875,257.8945484073321,-0.26575859755431264,0.14038044945501826,0.014460739911029832
Artery - Aorta,130,130,301.37958359641567,239.2589480060198,-0.301525959076993,0.12730719020838785,0.1489117361892312
Brain - Nucleus accumbens (basal ganglia),183,183,272.2000658026969,223.42592760611538,-0.18554906119726344,0.11900498254118538,0.10859382252610948
Colon - Transverse,73,73,324.4935270208379,261.6022455707738,-0.3330935846407157,0.0912021967620053,0.4428533501320621
Adipose - Visceral (Omentum),188,188,286.23735221804816,232.75569204842088,-0.2084709757881813,0.08144434767365773,0.2665219396299501
Adipose - Subcutaneous,254,254,345.3965363098417,270.7455199819913,-0.3793047622768635,0.07754098562050896,0.21811366615055566
Lung,228,228,300.2245344422274,246.1197235256161,-0.22010173240777364,0.07410667978318226,0.2651209221603368
Skin - Sun Exposed (Lower leg),280,280,330.7093282081361,264.24975092412626,-0.3464589500148969,0.06885824058348002,0.2507919557263054
Artery - Tibial,234,234,343.2635804093267,281.7685193814516,-0.38571250177398864,0.06797934653128086,0.3004290384600903
Brain - Amygdala,116,116,281.93444168232486,228.99851416584565,-0.3326632012252204,0.06370423338257211,0.49689983255768305
Brain - Caudate (basal ganglia),186,186,293.6020263934438,237.34625836849926,-0.28860758164509237,0.05393081783561614,0.46472282482617305
Pancreas,40,40,331.06376656882907,269.6960465872101,-0.21646798785379762,0.05234521575984991,0.7483753621523709
Skin - Not Sun Exposed (Suprapubic),236,236,294.2401820489151,245.03478025780535,-0.2126658853968706,0.051560858083025754,0.4304558392962145
Testis,135,135,325.8316051775865,260.0824704743659,-0.3904820448529387,0.04862987640341042,0.5754074873980919
Brain - Hippocampus,155,155,305.2692787360074,256.0366556375275,-0.31738285703903957,0.039606385370117785,0.6246320307892002
Pituitary,224,224,291.80999204388985,233.62100409833783,-0.2855925016017178,0.030395766363648397,0.6509220883288243
Esophagus - Muscularis,125,125,348.3184346582184,268.7665551210115,-0.49234257902167466,0.02784050237140402,0.7579309486005318
Breast - Mammary Tissue,159,159,337.5331003329661,278.07510854487344,-0.3751975818721569,0.01963831232375217,0.8059148281636838
Brain - Spinal cord (cervical c-1),123,123,282.62145033260106,228.67531383947428,-0.28699701936072497,0.01705805058135056,0.851452933181491
Heart - Atrial Appendage,177,177,292.93388744832356,239.55013165592555,-0.2894499263522625,0.01647211329603531,0.8277335563055521
Brain - Cerebellum,183,183,297.2521985175604,239.32180320876896,-0.29509993330775863,0.009807329111054783,0.8951700348622255
Brain - Substantia nigra,116,116,292.8724869966566,236.54954364106337,-0.33971449228253103,0.0025295774116945026,0.9785001117600723
Adrenal Gland,53,53,394.0859531186278,314.1136820320843,-0.7751824815488182,-0.00306402193194646,0.9826277942516047
Brain - Frontal Cortex (BA9),160,160,271.8223247022991,217.88319033955423,-0.3734937833269081,-0.02603330816679007,0.7438406003928181
Brain - Anterior cingulate cortex (BA24),136,136,311.83752889427393,249.89916563176286,-0.34726685399621826,-0.03943837352505097,0.6484915952020892
Cells - EBV-transformed lymphocytes,35,35,254.23236330737708,185.64862918405504,-0.44218198382924045,-0.048179271708683476,0.7834388880614043
Minor Salivary Gland,46,46,368.03675715922355,294.42109979740184,-0.5555700986791103,-0.0500169601520607,0.7413225884859065
Ovary,50,50,295.334495509141,241.37768806151516,-0.345238228383566,-0.06458738506987868,0.6558744575096671
Heart - Left Ventricle,151,151,305.6692107867506,244.21962196812342,-0.3457735438774041,-0.07929688930221498,0.33312213308062116
Colon - Sigmoid,113,113,346.7450472286565,280.4982138499125,-0.5670851059162212,-0.08918757630185296,0.34752059646447475
Cells - Cultured fibroblasts,175,175,424.4975694985061,337.5906336013253,-0.7836259228004334,-0.11226732961698366,0.13908839843415496
Brain - Hypothalamus,157,157,297.104383416368,244.39499899431158,-0.40783535391191306,-0.14077833237311851,0.07864199575777761
Uterus,34,34,319.2253929653959,263.3345624460364,-0.534248216995387,-0.14469060351413293,0.41425083543811947
