model,split,rmse,mae,r2,spearman_r,spearman_p
tissue_only,cv,279.0879456422514,224.51359764883162,0.012781467017623172,0.21683776848527878,4.094527286128398e-74
tissue_only,test,279.1348549736994,231.48260185998603,0.03503625368197638,0.21151126822522082,4.512258848589237e-18
global_hif+tissue,cv,286.7479002816448,229.85404537837692,-0.04215336446086937,0.18847878917893254,4.028976959493165e-56
global_hif+tissue,test,279.70750740874536,230.51221438667358,0.03107289579662864,0.23375581771870368,7.905833688458397e-22
